Model,Term,Coefficient_Type,Coefficient,Hazard_Ratio,Standard_Error,Z_Score,P_Value,Lower_CI,Upper_CI,CI_Width,Model_AIC,Model_LogLik,Model_C_Index,N_Observations,N_Events,Significance_Level,Effect_Size_Category,Risk_Direction,Formula,Analysis_Type
claude_35,C(adv_id)[T.p3],Adversarial_ID,0.060175,1.062,0.245189,0.2454,0.806129,,,,5761.9918,-2838.9959,0.482,4744,453,Not_Significant,No_Effect,Increased_Risk,C(adv_id) * cumulative_drift + C(adv_id) * prompt_to_prompt_drift + C(subject_cluster) * context_to_prompt_drift + C(difficulty_level) + prompt_to_prompt_drift + context_to_prompt_drift + cumulative_drift,combined
claude_35,C(adv_id)[T.p7]:prompt_to_prompt_drift,Adversarial_ID,1.601679,4.9614,7.805909,0.2052,0.837425,,,,5761.9918,-2838.9959,0.482,4744,453,Not_Significant,Large_Increase,Increased_Risk,C(adv_id) * cumulative_drift + C(adv_id) * prompt_to_prompt_drift + C(subject_cluster) * context_to_prompt_drift + C(difficulty_level) + prompt_to_prompt_drift + context_to_prompt_drift + cumulative_drift,combined
claude_35,C(adv_id)[T.p2]:cumulative_drift,Adversarial_ID,0.656566,1.9282,3.554423,0.1847,0.85345,,,,5761.9918,-2838.9959,0.482,4744,453,Not_Significant,Moderate_Increase,Increased_Risk,C(adv_id) * cumulative_drift + C(adv_id) * prompt_to_prompt_drift + C(subject_cluster) * context_to_prompt_drift + C(difficulty_level) + prompt_to_prompt_drift + context_to_prompt_drift + cumulative_drift,combined
claude_35,C(adv_id)[T.p4]:prompt_to_prompt_drift,Adversarial_ID,-1.274287,0.2796,8.545496,-0.1491,0.881461,,,,5761.9918,-2838.9959,0.482,4744,453,Not_Significant,Large_Decrease,Decreased_Risk,C(adv_id) * cumulative_drift + C(adv_id) * prompt_to_prompt_drift + C(subject_cluster) * context_to_prompt_drift + C(difficulty_level) + prompt_to_prompt_drift + context_to_prompt_drift + cumulative_drift,combined
claude_35,C(adv_id)[T.p2]:prompt_to_prompt_drift,Adversarial_ID,-1.054209,0.3485,8.915991,-0.1182,0.905879,,,,5761.9918,-2838.9959,0.482,4744,453,Not_Significant,Large_Decrease,Decreased_Risk,C(adv_id) * cumulative_drift + C(adv_id) * prompt_to_prompt_drift + C(subject_cluster) * context_to_prompt_drift + C(difficulty_level) + prompt_to_prompt_drift + context_to_prompt_drift + cumulative_drift,combined
claude_35,C(adv_id)[T.p8],Adversarial_ID,-0.026118,0.9742,0.255308,-0.1023,0.918519,,,,5761.9918,-2838.9959,0.482,4744,453,Not_Significant,No_Effect,Decreased_Risk,C(adv_id) * cumulative_drift + C(adv_id) * prompt_to_prompt_drift + C(subject_cluster) * context_to_prompt_drift + C(difficulty_level) + prompt_to_prompt_drift + context_to_prompt_drift + cumulative_drift,combined
claude_35,C(adv_id)[T.p5]:prompt_to_prompt_drift,Adversarial_ID,-0.065174,0.9369,9.258801,-0.007,0.994384,,,,5761.9918,-2838.9959,0.482,4744,453,Not_Significant,No_Effect,Decreased_Risk,C(adv_id) * cumulative_drift + C(adv_id) * prompt_to_prompt_drift + C(subject_cluster) * context_to_prompt_drift + C(difficulty_level) + prompt_to_prompt_drift + context_to_prompt_drift + cumulative_drift,combined
claude_35,C(difficulty_level)[T.elementary],Difficulty_Level,-0.155834,0.8557,0.120242,-1.296,0.194974,,,,5761.9918,-2838.9959,0.482,4744,453,Not_Significant,Small_Decrease,Decreased_Risk,C(adv_id) * cumulative_drift + C(adv_id) * prompt_to_prompt_drift + C(subject_cluster) * context_to_prompt_drift + C(difficulty_level) + prompt_to_prompt_drift + context_to_prompt_drift + cumulative_drift,combined
claude_35,C(difficulty_level)[T.high_school],Difficulty_Level,-0.083416,0.92,0.126575,-0.659,0.509879,,,,5761.9918,-2838.9959,0.482,4744,453,Not_Significant,No_Effect,Decreased_Risk,C(adv_id) * cumulative_drift + C(adv_id) * prompt_to_prompt_drift + C(subject_cluster) * context_to_prompt_drift + C(difficulty_level) + prompt_to_prompt_drift + context_to_prompt_drift + cumulative_drift,combined
claude_35,C(difficulty_level)[T.professional],Difficulty_Level,-0.015186,0.9849,0.115468,-0.1315,0.895369,,,,5761.9918,-2838.9959,0.482,4744,453,Not_Significant,No_Effect,Decreased_Risk,C(adv_id) * cumulative_drift + C(adv_id) * prompt_to_prompt_drift + C(subject_cluster) * context_to_prompt_drift + C(difficulty_level) + prompt_to_prompt_drift + context_to_prompt_drift + cumulative_drift,combined
claude_35,context_to_prompt_drift,Drift_Effect,-0.863778,0.4216,1.007608,-0.8573,0.391303,,,,5761.9918,-2838.9959,0.482,4744,453,Not_Significant,Large_Decrease,Decreased_Risk,C(adv_id) * cumulative_drift + C(adv_id) * prompt_to_prompt_drift + C(subject_cluster) * context_to_prompt_drift + C(difficulty_level) + prompt_to_prompt_drift + context_to_prompt_drift + cumulative_drift,combined
claude_35,prompt_to_prompt_drift,Drift_Effect,-2.003546,0.1349,4.170357,-0.4804,0.630925,,,,5761.9918,-2838.9959,0.482,4744,453,Not_Significant,Large_Decrease,Decreased_Risk,C(adv_id) * cumulative_drift + C(adv_id) * prompt_to_prompt_drift + C(subject_cluster) * context_to_prompt_drift + C(difficulty_level) + prompt_to_prompt_drift + context_to_prompt_drift + cumulative_drift,combined
claude_35,cumulative_drift,Drift_Effect,-0.218178,0.804,1.77043,-0.1232,0.901922,,,,5761.9918,-2838.9959,0.482,4744,453,Not_Significant,Small_Decrease,Decreased_Risk,C(adv_id) * cumulative_drift + C(adv_id) * prompt_to_prompt_drift + C(subject_cluster) * context_to_prompt_drift + C(difficulty_level) + prompt_to_prompt_drift + context_to_prompt_drift + cumulative_drift,combined
claude_35,C(subject_cluster)[T.Law_Legal]:context_to_prompt_drift,Subject_Cluster,1.930845,6.8953,1.439,1.3418,0.179662,,,,5761.9918,-2838.9959,0.482,4744,453,Not_Significant,Large_Increase,Increased_Risk,C(adv_id) * cumulative_drift + C(adv_id) * prompt_to_prompt_drift + C(subject_cluster) * context_to_prompt_drift + C(difficulty_level) + prompt_to_prompt_drift + context_to_prompt_drift + cumulative_drift,combined
claude_35,C(subject_cluster)[T.Humanities]:context_to_prompt_drift,Subject_Cluster,1.524078,4.5909,1.414238,1.0777,0.281182,,,,5761.9918,-2838.9959,0.482,4744,453,Not_Significant,Large_Increase,Increased_Risk,C(adv_id) * cumulative_drift + C(adv_id) * prompt_to_prompt_drift + C(subject_cluster) * context_to_prompt_drift + C(difficulty_level) + prompt_to_prompt_drift + context_to_prompt_drift + cumulative_drift,combined
claude_35,C(subject_cluster)[T.General_Knowledge],Subject_Cluster,0.214874,1.2397,0.217111,0.9897,0.322322,,,,5761.9918,-2838.9959,0.482,4744,453,Not_Significant,Small_Increase,Increased_Risk,C(adv_id) * cumulative_drift + C(adv_id) * prompt_to_prompt_drift + C(subject_cluster) * context_to_prompt_drift + C(difficulty_level) + prompt_to_prompt_drift + context_to_prompt_drift + cumulative_drift,combined
claude_35,C(subject_cluster)[T.Social_Sciences],Subject_Cluster,0.181845,1.1994,0.226803,0.8018,0.422683,,,,5761.9918,-2838.9959,0.482,4744,453,Not_Significant,Small_Increase,Increased_Risk,C(adv_id) * cumulative_drift + C(adv_id) * prompt_to_prompt_drift + C(subject_cluster) * context_to_prompt_drift + C(difficulty_level) + prompt_to_prompt_drift + context_to_prompt_drift + cumulative_drift,combined
claude_35,C(subject_cluster)[T.Social_Sciences]:context_to_prompt_drift,Subject_Cluster,-1.1219,0.3257,1.640265,-0.684,0.493991,,,,5761.9918,-2838.9959,0.482,4744,453,Not_Significant,Large_Decrease,Decreased_Risk,C(adv_id) * cumulative_drift + C(adv_id) * prompt_to_prompt_drift + C(subject_cluster) * context_to_prompt_drift + C(difficulty_level) + prompt_to_prompt_drift + context_to_prompt_drift + cumulative_drift,combined
claude_35,C(subject_cluster)[T.STEM],Subject_Cluster,0.131781,1.1409,0.220706,0.5971,0.550446,,,,5761.9918,-2838.9959,0.482,4744,453,Not_Significant,Small_Increase,Increased_Risk,C(adv_id) * cumulative_drift + C(adv_id) * prompt_to_prompt_drift + C(subject_cluster) * context_to_prompt_drift + C(difficulty_level) + prompt_to_prompt_drift + context_to_prompt_drift + cumulative_drift,combined
claude_35,C(subject_cluster)[T.General_Knowledge]:context_to_prompt_drift,Subject_Cluster,-0.85299,0.4261,1.535628,-0.5555,0.578576,,,,5761.9918,-2838.9959,0.482,4744,453,Not_Significant,Large_Decrease,Decreased_Risk,C(adv_id) * cumulative_drift + C(adv_id) * prompt_to_prompt_drift + C(subject_cluster) * context_to_prompt_drift + C(difficulty_level) + prompt_to_prompt_drift + context_to_prompt_drift + cumulative_drift,combined
claude_35,C(subject_cluster)[T.Medical_Health],Subject_Cluster,0.099629,1.1048,0.205226,0.4855,0.627348,,,,5761.9918,-2838.9959,0.482,4744,453,Not_Significant,Small_Increase,Increased_Risk,C(adv_id) * cumulative_drift + C(adv_id) * prompt_to_prompt_drift + C(subject_cluster) * context_to_prompt_drift + C(difficulty_level) + prompt_to_prompt_drift + context_to_prompt_drift + cumulative_drift,combined
claude_35,C(subject_cluster)[T.Law_Legal],Subject_Cluster,-0.088751,0.9151,0.214388,-0.414,0.678892,,,,5761.9918,-2838.9959,0.482,4744,453,Not_Significant,No_Effect,Decreased_Risk,C(adv_id) * cumulative_drift + C(adv_id) * prompt_to_prompt_drift + C(subject_cluster) * context_to_prompt_drift + C(difficulty_level) + prompt_to_prompt_drift + context_to_prompt_drift + cumulative_drift,combined
claude_35,C(subject_cluster)[T.STEM]:context_to_prompt_drift,Subject_Cluster,-0.582313,0.5586,1.470334,-0.396,0.692075,,,,5761.9918,-2838.9959,0.482,4744,453,Not_Significant,Moderate_Decrease,Decreased_Risk,C(adv_id) * cumulative_drift + C(adv_id) * prompt_to_prompt_drift + C(subject_cluster) * context_to_prompt_drift + C(difficulty_level) + prompt_to_prompt_drift + context_to_prompt_drift + cumulative_drift,combined
claude_35,C(subject_cluster)[T.Humanities],Subject_Cluster,-0.030969,0.9695,0.220072,-0.1407,0.888089,,,,5761.9918,-2838.9959,0.482,4744,453,Not_Significant,No_Effect,Decreased_Risk,C(adv_id) * cumulative_drift + C(adv_id) * prompt_to_prompt_drift + C(subject_cluster) * context_to_prompt_drift + C(difficulty_level) + prompt_to_prompt_drift + context_to_prompt_drift + cumulative_drift,combined
claude_35,C(subject_cluster)[T.Medical_Health]:context_to_prompt_drift,Subject_Cluster,0.092172,1.0966,1.527396,0.0603,0.95188,,,,5761.9918,-2838.9959,0.482,4744,453,Not_Significant,No_Effect,Increased_Risk,C(adv_id) * cumulative_drift + C(adv_id) * prompt_to_prompt_drift + C(subject_cluster) * context_to_prompt_drift + C(difficulty_level) + prompt_to_prompt_drift + context_to_prompt_drift + cumulative_drift,combined
deepseek_r1,C(adv_id)[T.p3],Adversarial_ID,-0.236304,0.7895,0.253014,-0.934,0.350326,,,,4335.0193,-2125.5097,0.552,4184,344,Not_Significant,Small_Decrease,Decreased_Risk,C(adv_id) * cumulative_drift + C(adv_id) * prompt_to_prompt_drift + C(subject_cluster) * context_to_prompt_drift + C(difficulty_level) + prompt_to_prompt_drift + context_to_prompt_drift + cumulative_drift,combined
deepseek_r1,C(adv_id)[T.p6]:prompt_to_prompt_drift,Adversarial_ID,-11.026275,0.0,13.031169,-0.8461,0.397471,,,,4335.0193,-2125.5097,0.552,4184,344,Not_Significant,Large_Decrease,Decreased_Risk,C(adv_id) * cumulative_drift + C(adv_id) * prompt_to_prompt_drift + C(subject_cluster) * context_to_prompt_drift + C(difficulty_level) + prompt_to_prompt_drift + context_to_prompt_drift + cumulative_drift,combined
deepseek_r1,C(adv_id)[T.p3]:prompt_to_prompt_drift,Adversarial_ID,10.0883,24059.8444,12.360036,0.8162,0.414384,,,,4335.0193,-2125.5097,0.552,4184,344,Not_Significant,Large_Increase,Increased_Risk,C(adv_id) * cumulative_drift + C(adv_id) * prompt_to_prompt_drift + C(subject_cluster) * context_to_prompt_drift + C(difficulty_level) + prompt_to_prompt_drift + context_to_prompt_drift + cumulative_drift,combined
deepseek_r1,C(adv_id)[T.p8],Adversarial_ID,0.157719,1.1708,0.239345,0.659,0.509922,,,,4335.0193,-2125.5097,0.552,4184,344,Not_Significant,Small_Increase,Increased_Risk,C(adv_id) * cumulative_drift + C(adv_id) * prompt_to_prompt_drift + C(subject_cluster) * context_to_prompt_drift + C(difficulty_level) + prompt_to_prompt_drift + context_to_prompt_drift + cumulative_drift,combined
deepseek_r1,C(adv_id)[T.p7]:cumulative_drift,Adversarial_ID,-3.882793,0.0206,5.971386,-0.6502,0.515542,,,,4335.0193,-2125.5097,0.552,4184,344,Not_Significant,Large_Decrease,Decreased_Risk,C(adv_id) * cumulative_drift + C(adv_id) * prompt_to_prompt_drift + C(subject_cluster) * context_to_prompt_drift + C(difficulty_level) + prompt_to_prompt_drift + context_to_prompt_drift + cumulative_drift,combined
deepseek_r1,C(adv_id)[T.p2]:prompt_to_prompt_drift,Adversarial_ID,-7.450737,0.0006,13.721626,-0.543,0.587135,,,,4335.0193,-2125.5097,0.552,4184,344,Not_Significant,Large_Decrease,Decreased_Risk,C(adv_id) * cumulative_drift + C(adv_id) * prompt_to_prompt_drift + C(subject_cluster) * context_to_prompt_drift + C(difficulty_level) + prompt_to_prompt_drift + context_to_prompt_drift + cumulative_drift,combined
deepseek_r1,C(adv_id)[T.p8]:cumulative_drift,Adversarial_ID,-3.489703,0.0305,6.533212,-0.5341,0.593239,,,,4335.0193,-2125.5097,0.552,4184,344,Not_Significant,Large_Decrease,Decreased_Risk,C(adv_id) * cumulative_drift + C(adv_id) * prompt_to_prompt_drift + C(subject_cluster) * context_to_prompt_drift + C(difficulty_level) + prompt_to_prompt_drift + context_to_prompt_drift + cumulative_drift,combined
deepseek_r1,C(adv_id)[T.p6]:cumulative_drift,Adversarial_ID,3.246559,25.7017,6.111656,0.5312,0.595275,,,,4335.0193,-2125.5097,0.552,4184,344,Not_Significant,Large_Increase,Increased_Risk,C(adv_id) * cumulative_drift + C(adv_id) * prompt_to_prompt_drift + C(subject_cluster) * context_to_prompt_drift + C(difficulty_level) + prompt_to_prompt_drift + context_to_prompt_drift + cumulative_drift,combined
deepseek_r1,C(adv_id)[T.p2]:cumulative_drift,Adversarial_ID,2.932558,18.7756,6.058696,0.484,0.628368,,,,4335.0193,-2125.5097,0.552,4184,344,Not_Significant,Large_Increase,Increased_Risk,C(adv_id) * cumulative_drift + C(adv_id) * prompt_to_prompt_drift + C(subject_cluster) * context_to_prompt_drift + C(difficulty_level) + prompt_to_prompt_drift + context_to_prompt_drift + cumulative_drift,combined
deepseek_r1,C(adv_id)[T.p5]:cumulative_drift,Adversarial_ID,-3.04632,0.0475,7.068519,-0.431,0.66649,,,,4335.0193,-2125.5097,0.552,4184,344,Not_Significant,Large_Decrease,Decreased_Risk,C(adv_id) * cumulative_drift + C(adv_id) * prompt_to_prompt_drift + C(subject_cluster) * context_to_prompt_drift + C(difficulty_level) + prompt_to_prompt_drift + context_to_prompt_drift + cumulative_drift,combined
deepseek_r1,C(adv_id)[T.p1]:prompt_to_prompt_drift,Adversarial_ID,4.688564,108.697,11.502985,0.4076,0.683571,,,,4335.0193,-2125.5097,0.552,4184,344,Not_Significant,Large_Increase,Increased_Risk,C(adv_id) * cumulative_drift + C(adv_id) * prompt_to_prompt_drift + C(subject_cluster) * context_to_prompt_drift + C(difficulty_level) + prompt_to_prompt_drift + context_to_prompt_drift + cumulative_drift,combined
deepseek_r1,C(adv_id)[T.p3]:cumulative_drift,Adversarial_ID,-2.472495,0.0844,6.4313,-0.3844,0.700647,,,,4335.0193,-2125.5097,0.552,4184,344,Not_Significant,Large_Decrease,Decreased_Risk,C(adv_id) * cumulative_drift + C(adv_id) * prompt_to_prompt_drift + C(subject_cluster) * context_to_prompt_drift + C(difficulty_level) + prompt_to_prompt_drift + context_to_prompt_drift + cumulative_drift,combined
deepseek_r1,C(adv_id)[T.p5],Adversarial_ID,-0.093953,0.9103,0.246649,-0.3809,0.703263,,,,4335.0193,-2125.5097,0.552,4184,344,Not_Significant,No_Effect,Decreased_Risk,C(adv_id) * cumulative_drift + C(adv_id) * prompt_to_prompt_drift + C(subject_cluster) * context_to_prompt_drift + C(difficulty_level) + prompt_to_prompt_drift + context_to_prompt_drift + cumulative_drift,combined
deepseek_r1,C(adv_id)[T.p7]:prompt_to_prompt_drift,Adversarial_ID,4.465771,86.9881,13.150159,0.3396,0.734159,,,,4335.0193,-2125.5097,0.552,4184,344,Not_Significant,Large_Increase,Increased_Risk,C(adv_id) * cumulative_drift + C(adv_id) * prompt_to_prompt_drift + C(subject_cluster) * context_to_prompt_drift + C(difficulty_level) + prompt_to_prompt_drift + context_to_prompt_drift + cumulative_drift,combined
deepseek_r1,C(adv_id)[T.p6],Adversarial_ID,0.07135,1.074,0.24269,0.294,0.768761,,,,4335.0193,-2125.5097,0.552,4184,344,Not_Significant,No_Effect,Increased_Risk,C(adv_id) * cumulative_drift + C(adv_id) * prompt_to_prompt_drift + C(subject_cluster) * context_to_prompt_drift + C(difficulty_level) + prompt_to_prompt_drift + context_to_prompt_drift + cumulative_drift,combined
deepseek_r1,C(adv_id)[T.p4]:prompt_to_prompt_drift,Adversarial_ID,2.680267,14.589,13.703728,0.1956,0.844934,,,,4335.0193,-2125.5097,0.552,4184,344,Not_Significant,Large_Increase,Increased_Risk,C(adv_id) * cumulative_drift + C(adv_id) * prompt_to_prompt_drift + C(subject_cluster) * context_to_prompt_drift + C(difficulty_level) + prompt_to_prompt_drift + context_to_prompt_drift + cumulative_drift,combined
deepseek_r1,C(adv_id)[T.p7],Adversarial_ID,0.043508,1.0445,0.243261,0.1789,0.858054,,,,4335.0193,-2125.5097,0.552,4184,344,Not_Significant,No_Effect,Increased_Risk,C(adv_id) * cumulative_drift + C(adv_id) * prompt_to_prompt_drift + C(subject_cluster) * context_to_prompt_drift + C(difficulty_level) + prompt_to_prompt_drift + context_to_prompt_drift + cumulative_drift,combined
deepseek_r1,C(adv_id)[T.p4],Adversarial_ID,0.031783,1.0323,0.242769,0.1309,0.895838,,,,4335.0193,-2125.5097,0.552,4184,344,Not_Significant,No_Effect,Increased_Risk,C(adv_id) * cumulative_drift + C(adv_id) * prompt_to_prompt_drift + C(subject_cluster) * context_to_prompt_drift + C(difficulty_level) + prompt_to_prompt_drift + context_to_prompt_drift + cumulative_drift,combined
deepseek_r1,C(adv_id)[T.p8]:prompt_to_prompt_drift,Adversarial_ID,1.609864,5.0021,13.715749,0.1174,0.906564,,,,4335.0193,-2125.5097,0.552,4184,344,Not_Significant,Large_Increase,Increased_Risk,C(adv_id) * cumulative_drift + C(adv_id) * prompt_to_prompt_drift + C(subject_cluster) * context_to_prompt_drift + C(difficulty_level) + prompt_to_prompt_drift + context_to_prompt_drift + cumulative_drift,combined
deepseek_r1,C(adv_id)[T.p5]:prompt_to_prompt_drift,Adversarial_ID,-1.721487,0.1788,15.101477,-0.114,0.909242,,,,4335.0193,-2125.5097,0.552,4184,344,Not_Significant,Large_Decrease,Decreased_Risk,C(adv_id) * cumulative_drift + C(adv_id) * prompt_to_prompt_drift + C(subject_cluster) * context_to_prompt_drift + C(difficulty_level) + prompt_to_prompt_drift + context_to_prompt_drift + cumulative_drift,combined
deepseek_r1,C(adv_id)[T.p2],Adversarial_ID,0.015211,1.0153,0.243737,0.0624,0.950239,,,,4335.0193,-2125.5097,0.552,4184,344,Not_Significant,No_Effect,Increased_Risk,C(adv_id) * cumulative_drift + C(adv_id) * prompt_to_prompt_drift + C(subject_cluster) * context_to_prompt_drift + C(difficulty_level) + prompt_to_prompt_drift + context_to_prompt_drift + cumulative_drift,combined
deepseek_r1,C(adv_id)[T.p1],Adversarial_ID,0.014032,1.0141,0.244365,0.0574,0.954208,,,,4335.0193,-2125.5097,0.552,4184,344,Not_Significant,No_Effect,Increased_Risk,C(adv_id) * cumulative_drift + C(adv_id) * prompt_to_prompt_drift + C(subject_cluster) * context_to_prompt_drift + C(difficulty_level) + prompt_to_prompt_drift + context_to_prompt_drift + cumulative_drift,combined
